X1	Offset Displacement	X2	Displacement #2	X3	Displacement #3
0.51783	139.31	0.31465	139.31	0.53998	139.31
0.53248	140.75	0.31583	140.75	0.54200	140.75
0.54225	140.61	0.31583	140.61	0.54200	140.61
0.55202	140.32	0.31525	140.32	0.54100	140.32
0.55202	139.89	0.31525	139.89	0.54100	139.89
0.54714	141.62	0.31525	141.62	0.54100	141.62
0.55202	141.19	0.31525	141.19	0.54100	141.19
0.55202	140.75	0.31465	140.75	0.53998	140.75
0.55202	142.34	0.31583	142.34	0.54200	142.34
0.54225	142.20	0.31525	142.20	0.54100	142.20
0.55202	141.76	0.31525	141.76	0.54100	141.76
0.56668	141.47	0.31525	141.47	0.54100	141.47
0.56668	143.06	0.31583	143.06	0.54200	143.06
0.57157	142.63	0.31583	142.63	0.54200	142.63
0.57157	142.20	0.31583	142.20	0.54200	142.20
0.57157	141.76	0.31583	141.76	0.54200	141.76
0.57157	143.49	0.31760	143.49	0.54503	143.49
0.57645	143.06	0.31760	143.06	0.54503	143.06
0.57645	142.92	0.31819	142.92	0.54605	142.92
0.58134	142.34	0.31819	142.34	0.54605	142.34
0.58134	144.21	0.31995	144.21	0.54907	144.21
0.57645	143.92	0.31995	143.92	0.54907	143.92
0.57157	143.35	0.31995	143.35	0.54907	143.35
0.57157	143.06	0.31995	143.06	0.54907	143.06
0.57157	144.93	0.32054	144.93	0.55007	144.93
0.57157	144.50	0.32172	144.50	0.55210	144.50
0.57157	143.92	0.32172	143.92	0.55210	143.92
0.57645	143.78	0.32231	143.78	0.55312	143.78
0.57645	145.36	0.32289	145.36	0.55412	145.36
0.58134	145.08	0.32289	145.08	0.55412	145.08
0.57645	144.64	0.32348	144.64	0.55512	144.64
0.56668	144.50	0.32348	144.50	0.55512	144.50
0.57157	145.80	0.32525	145.80	0.55816	145.80
0.57157	145.51	0.32466	145.51	0.55714	145.51
0.55202	145.22	0.32466	145.22	0.55714	145.22
0.55691	146.95	0.32584	146.95	0.55917	146.95
0.53248	146.52	0.32584	146.52	0.55917	146.52
0.54714	146.23	0.32701	146.23	0.56119	146.23
